[2023-04-26T15:58:10.122] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T15:58:53.656] [WARN] warnArchive - Estado: 404, Ruta consultada: /avatar/1682532440002-eri.jpg, Metodo GET
[2023-04-26T19:38:05.192] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:12.265] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:30.572] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:32.042] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:39.745] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:41.141] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:42.487] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:53.976] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:55.151] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:56.482] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:38:57.483] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:39:30.571] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:39:33.581] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:39:48.010] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:39:51.877] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:40:45.638] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:40:57.863] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:40:59.039] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:05.642] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:07.033] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:16.569] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:20.058] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:48.044] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:49.580] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:41:50.354] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:05.358] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:06.677] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:19.169] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:25.880] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:26.734] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:27.266] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:30.679] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:34.202] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:43:35.655] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:45:22.255] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:45:24.434] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:45:26.413] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:54:19.095] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:55:02.960] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:55:43.566] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:55:48.757] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:55:51.852] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T19:55:53.900] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T20:01:47.975] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T20:02:29.676] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-04-26T20:02:31.395] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
